index,seriesName,network,season,title,imdb,engagement,dateAired,run.time,format,monster.name,monster.gender,mainMonsterGender,monster.type,monster.subtype,monster.species,monster.amount,caught.fred,caught.daphnie,caught.velma,caught.shaggy,caught.scooby,caught.other,num.caught,caught.not,caught,captured.fred,captured.daphnie,captured.velma,captured.shaggy,captured.scooby,num.captured,unmask.fred,unmask.daphnie,unmask.velma,unmask.shaggy,unmask.scooby,unmask.other,settingTerrain,suspects.amount,non-suspect,arrested,culprit.gender,culprit.amount,motive,if.it.wasnt.for,and.that,number.of.snacks,split.up,another.mystery,set.a.trap,jeepers,jinkies,my.glasses,just.about.wrapped.up,zoinks,groovy,scooby.doo.where.are.you,rooby.rooby.roo
22,"Scooby Doo, Where Are You!",CBS,2,Haunted House Hang-Up,8.4,303,10/10/1970,21,TV Series,Headless Specter,Male,Male,Ghost,Headless,Human,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rural,1,TRUE,FALSE,Male,1,Treasure,you snoopers,NULL,3,0,0,0,0,0,0,0,0,0,0,0
23,"Scooby Doo, Where Are You!",CBS,2,A Tiki Scare Is No Fair,7.9,292,10/17/1970,21,TV Series,"Witch Doctor,Mano Tiki Tia","Female,Male",Female,"Ancient,Possessed Object","Witch Doctor,Statue","Human,Object",2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Jungle,1,FALSE,TRUE,Male,1,Theft,NULL,NULL,1,0,1,1,0,0,0,0,6,0,1,0
24,"Scooby Doo, Where Are You!",CBS,2,Who's Afraid of the Big Bad Werewolf?,8.2,292,10/24/1970,21,TV Series,Werewolf,Male,Male,Animal,Werewolf,Human,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE,1,TRUE,TRUE,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rural,0,TRUE,TRUE,Male,1,Smuggling,NULL,NULL,0,1,1,1,0,0,0,0,0,0,0,0
25,"Scooby Doo, Where Are You!",CBS,2,Don't Fool with a Phantom,7.9,282,10/31/1970,21,TV Series,Wax Phantom,Male,Male,Ghost,Statue,Human,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,3,FALSE,TRUE,Male,1,Theft,NULL,NULL,1 box,0,0,1,0,0,0,0,4,0,1,0
26,The New Scooby-Doo Movies,CBS,1,The Ghastly Ghost Town,6.9,138,9/9/1972,43,TV Series,"Giant Bat,Geronimo,Gunslinger,Robot Gunslinger,Cactus","Male,Male,Male,Male,None",Male,"Animal,Ancient,Ancient,Mechanical,Plant","Bat,Indian,Cowboy,Humanoid,Cactus","Bat,Human,Human,Robot,Cactus",2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE,1,TRUE,TRUE,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Desert,2,FALSE,TRUE,"Male,Male",2,Natural Resource,NULL,NULL,0,0,0,0,0,0,0,0,1,0,1,0
27,The New Scooby-Doo Movies,CBS,1,The Dynamic Scooby-Doo Affair,7.8,232,9/16/1972,41,TV Series,"Hooded Man,Skeletons","Male,Male",Male,"Disguised,Skeleton","Hooded,Humaniod","Human,Human",2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Rural,1,FALSE,TRUE,Female,1,Counterfeit,that dumb dog,NULL,3,0,0,0,0,0,1,0,3,0,3,3
28,The New Scooby-Doo Movies,CBS,1,Wednesday Is Missing,7.9,119,9/23/1972,41,TV Series,The Vulture,Female,Female,Animal,Bird,Vulture,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Forest,2,FALSE,FALSE,"Male,Female",2,Safety,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0
29,The New Scooby-Doo Movies,CBS,1,The Frickert Fracas,7.9,116,9/30/1972,43,TV Series,Scarecrow,Male,Male,Possessed Object,Scarecrow,Human,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Rural,4,FALSE,TRUE,Male,1,Treasure,NULL,NULL,0,0,0,0,1,1,0,0,9,0,0,0
30,The New Scooby-Doo Movies,CBS,1,Guess Who's Knott Coming to Dinner?,7.9,111,10/7/1972,43,TV Series,"Ghost of Captain Moody,Ghost of Captain Moody","Male,Male",Male,"Ghost,Ghost","Phantom,Phantom","Human,Human",2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Forest,1,TRUE,TRUE,"Male,Male",2,Inheritance,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0
31,The New Scooby-Doo Movies,CBS,1,A Good Medium Is Rare,7.7,88,10/14/1972,41,TV Series,"The Gargoyle,Phantoms,Phantoms","Male,Male,Male",Male,"Possessed Object,Ghost,Ghost","Statue,Phantom,Phantom","Gargoyle,Human,Human",3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Forest,4,FALSE,TRUE,Male,1,Theft,NULL,NULL,0,0,0,0,0,1,0,0,1,0,1,1
